Country,Denomination,Series,Years,Category,Metal,Fineness,Wt (g),Numista,NGC,PCGS
Italy,1 Lira,Victor Emmanuel III - 1 Lira (1922-1935),1922–1935,COIN,Ni,1.0,8.0,https://en.numista.com/catalogue/pieces2595.html,https://www.ngccoin.com/price-guide/world/italy-lira-km-62-1922-1935-cuid-1125476-duid-1471396,
Italy,1 Lira,Victor Emmanuel III - 1 Lira (1936-1938),1936–1938,COIN,Ni,1.0,8.0,https://en.numista.com/catalogue/pieces13092.html,https://www.ngccoin.com/price-guide/world/italy-lira-km-77-1936-1938-cuid-1124627-duid-1471565,
Italy,1 Lira,Victor Emmanuel III - 1 Lira (1939-1940) non-magnetic,1939–1940,COIN,Acmonital,1.0,8.0,https://en.numista.com/catalogue/pieces3811.html,https://www.ngccoin.com/price-guide/world/italy-lira-km-77a-1939-1940-cuid-1125478-duid-1471566,
Italy,1 Lira,Victor Emmanuel III - 1 Lira (1939-1943) magnetic,1939–1943,COIN,Acmonital,1.0,7.9,https://en.numista.com/catalogue/pieces7928.html,https://www.ngccoin.com/price-guide/world/italy-lira-km-77b-1939-1943-cuid-1124628-duid-1471398,
Italy,10 Centesimi,Victor Emmanuel III - 10 Centesimi (1919-1937),1919–1937,COIN,Cu,1.0,5.34,https://en.numista.com/catalogue/pieces1960.html,https://www.ngccoin.com/price-guide/world/italy-10-centesimi-km-60-1919-1937-cuid-1125593-duid-1471437,
Italy,10 Centesimi,Victor Emmanuel III - 10 Centesimi (1936-1943),1936–1943,COIN,Cu,1.0,5.4,https://en.numista.com/catalogue/pieces9173.html,https://www.ngccoin.com/price-guide/world/italy-10-centesimi-km-74-1936-1939-cuid-1124148-duid-1478454,https://www.ngccoin.com/price-guide/world/italy-10-centesimi-km-74a-1939-1943-cuid-1201420-duid-1471157
Italy,10 Lire,Victor Emmanuel III - 10 Lire (1926-1934),1926–1934,COIN,Ag,0.835,10.0,https://en.numista.com/catalogue/pieces10490.html,https://www.ngccoin.com/price-guide/world/italy-10-lire-km-68.1-1926-1934-cuid-1124794-duid-1478752,
Italy,2 Lire,Victor Emmanuel III - 2 Lire (1923-1935),1923–1935,COIN,Ni,1.0,10.0,https://en.numista.com/catalogue/pieces2682.html,https://www.ngccoin.com/price-guide/world/italy-2-lire-km-63-1923-1935-cuid-1125479-duid-1478716,
Italy,2 Lire,Victor Emmanuel III - 2 Lire (1936-1939),1936–1939,COIN,Ni,1.0,10.0,https://en.numista.com/catalogue/pieces3089.html,https://www.ngccoin.com/price-guide/world/italy-2-lire-km-78-1936-1939-cuid-1124791-duid-1471403,
Italy,2 Lire,Victor Emmanuel III - 2 Lire (1939-1943),1939–1943,COIN,Acmonital (magnetic),1.0,10.0,https://en.numista.com/catalogue/pieces15574.html,https://www.ngccoin.com/price-guide/world/italy-2-lire-km-78b-1939-1943-cuid-1124503-duid-1472883,
Italy,20 Centesimi,Victor Emmanuel III - 20 Centesimi (1908-1935),1908–1935,COIN,Ni,1.0,4.0,https://en.numista.com/catalogue/pieces1958.html,https://www.ngccoin.com/price-guide/world/italy-20-centesimi-km-44-1908-1935-cuid-1125810-duid-1471441,
Italy,20 Centesimi,Victor Emmanuel III - 20 Centesimi (1936-1938),1936–1938,COIN,Ni,1.0,4.0,https://en.numista.com/catalogue/pieces11199.html,https://www.ngccoin.com/price-guide/world/italy-20-centesimi-km-75-1936-1938-cuid-1124399-duid-1478459,
Italy,20 Centesimi,Victor Emmanuel III - 20 Centesimi (1939-1943),1939–1943,COIN,Acmonital (magnetic),1.0,4.0,https://en.numista.com/catalogue/pieces1959.html,https://www.ngccoin.com/price-guide/world/italy-20-centesimi-km-75b-1939-1943-cuid-1125698-duid-1471446,
Italy,5 Centesimi,Victor Emmanuel III - 5 Centesimi (1919-1937),1919–1937,COIN,Cu,1.0,3.25,https://en.numista.com/catalogue/pieces1277.html,https://www.ngccoin.com/price-guide/world/italy-5-centesimi-km-59-1919-1937-cuid-1124282-duid-1478445,
Italy,5 Centesimi,Victor Emmanuel III - 5 Centesimi (1936-1939),1936–1939,COIN,Bronze,1.0,3.25,https://en.numista.com/catalogue/pieces4005.html,https://www.ngccoin.com/price-guide/world/italy-5-centesimi-km-73-1936-1939-cuid-1125586-duid-1471432,
Italy,5 Centesimi,Victor Emmanuel III - 5 Centesimi (1939-1943),1939–1943,COIN,Bronzital,1.0,2.97,https://en.numista.com/catalogue/pieces2393.html,https://www.ngccoin.com/price-guide/world/italy-5-centesimi-km-73a-1939-1943-cuid-1124733-duid-1471485,
Italy,5 Lire,Victor Emmanuel III - 5 Lire (1926-1935),1926–1935,COIN,Ag,0.835,5.0,https://en.numista.com/catalogue/pieces4047.html,https://www.ngccoin.com/price-guide/world/italy-5-lire-km-67.1-1926-1935-cuid-1124504-duid-1471538,
Italy,5 Lire,Victor Emmanuel III - 5 Lire (1936-1941),1936–1941,COIN,Ag,0.835,5.0,https://en.numista.com/catalogue/pieces6670.html,https://www.ngccoin.com/price-guide/world/italy-5-lire-km-79-1936-1941-cuid-1125480-duid-1471541,
Italy,50 Centesimi,Victor Emmanuel III - 50 Centesimi (1919-1935),1919–1935,COIN,Ni,1.0,5.5,https://en.numista.com/catalogue/pieces2395.html,https://www.ngccoin.com/price-guide/world/italy-50-centesimi-km-61.1-1919-1928-cuid-1125815-duid-1471167,
Italy,50 Centesimi,Victor Emmanuel III - 50 Centesimi (1936-1938),1936–1938,COIN,Ni,1.0,6.0,https://en.numista.com/catalogue/pieces13085.html,https://www.ngccoin.com/price-guide/world/italy-50-centesimi-km-76-1936-1938-cuid-1125301-duid-1471354,
Italy,50 Centesimi,Victor Emmanuel III - 50 Centesimi (1939-1943),1939–1943,COIN,Acmonital (magnetic),1.0,6.0,https://en.numista.com/catalogue/pieces2278.html,https://www.ngccoin.com/price-guide/world/italy-50-centesimi-km-76b-1939-1943-cuid-1125890-duid-1478701,
