country,denomination,series,metal,fineness,weight_grams,diameter_mm,thickness_mm,edge,years_start,years_end,asset_category,numista_url,ngc_url,pcgs_url,notes
USA,1 oz,APMEX Bar,Ag,0.999,31.1034768,,2.4,Plain,,,BAR,https://en.numista.com/catalogue/exonumia287944.html,,,Silver Towne Mint
Canada,5 Dollars,Maple (1988-Present),Ag,0.9999,31.1034768,38,3.29,Reeded,1988,,BULLION COIN,https://en.numista.com/catalogue/pieces58596.html,,,Royal Canadian Mint bullion coin with security features since 2014
Australia,1 Dollar,Kangaroo (1993-Present),Ag,0.9999,31.1034768,40.6,3.2,Reeded,1993,,BULLION COIN,https://en.numista.com/catalogue/pieces76663.html,https://www.ngccoin.com/population-report/australia/4/kangaroo-series/78/s1/755/all/MS/?page=1,https://www.pcgs.com/pop/detail/category/219568?l=1-dollar-silver-1993-2023&ccid=219568&p=MS&sn=143220&pn=1&ps=100,Perth Mint version with micro-laser security feature
Austria,1.5 Euros,Philharmonic (2008-Present),Ag,0.999,31.1034768,37,3.2,Plain,2008,,BULLION COIN,https://en.numista.com/catalogue/pieces9165.html,https://www.ngccoin.com/price-guide/world/austria-1-1-2-euro-km-3159-2008-2016-cuid-1060126-duid-1233485,,First silver bullion coin denominated in Euros
UK,2 Pounds,Britannia (2013-Present),Ag,0.999,31.1034768,38.61,3,Reeded,2013,,BULLION COIN,https://en.numista.com/catalogue/pieces240613.html,https://www.ngccoin.com/price-guide/world/great-britain-2-pounds-km-1029-1998-2013-cuid-1133207-duid-1327363,https://www.pcgs.com/pop/detail/2-pounds-1997-date/4057,Royal Mint with advanced security features since 2019
Armenia,500 Dram,Noah's Ark (2011-Present),Ag,0.999,31.1034768,38.6,2.8,Plain,2011,,BULLION COIN,https://en.numista.com/catalogue/pieces26279.html,https://www.ngccoin.com/price-guide/world/armenia-500-dram-km-196.1-2011-2016-cuid-1064106-duid-1233953,,Biblical themed design with Mount Ararat
South Africa,1 Rand,Krugerrand (2017-Present),Ag,0.999,31.1034768,38.7,2.84,Reeded,2017,,BULLION COIN,https://en.numista.com/catalogue/pieces143754.html,,,Silver version introduced for 50th anniversary
USA,1 Dollar,American Silver Eagle (1986-Present),Ag,0.999,31.1034768,40.6,2.98,Reeded,1986,,BULLION COIN,https://en.numista.com/catalogue/pieces1493.html,https://www.ngccoin.com/price-guide/united-states/american-eagles-and-bullion-coins/76/,https://www.pcgs.com/prices/detail/silver-eagles/939/most-active/ms,
USA,1 oz,Money Metal Exchange Walking Liberty 1.0,Ag,0.999,31.1034768,39,,Reeded,,,ROUND,https://en.numista.com/catalogue/exonumia173945.html,,,
USA,0.5 oz,Money Metal Exchange Walking Liberty 0.5,Ag,0.999,15.5517384,30,2.5,Reeded,,,ROUND,https://en.numista.com/catalogue/exonumia445198.html,,,
USA,0.1 oz,Money Metal Exchange Walking Liberty 0.1,Ag,0.999,3.11034768,19.6,1.22,Reeded,,,ROUND,https://en.numista.com/catalogue/exonumia133589.html,,,
USA,1 Dollar,Morgan (1878-1921),Ag,0.9,26.73,38.1,2.4,Reeded,1878,1921,COIN,https://en.numista.com/catalogue/pieces1492.html,https://www.ngccoin.com/coin-explorer/united-states/dollars/morgan-dollars-1878-1921/,https://www.pcgs.com/prices/detail/morgan-dollar/744/all/ms,
USA,1 Dollar,Peace (1921-1935),Ag,0.9,26.73,38.1,2.4,Reeded,1921,1964,COIN,https://en.numista.com/catalogue/pieces5580.html,https://www.ngccoin.com/coin-explorer/united-states/dollars/peace-dollars-1921-1935/,https://www.pcgs.com/prices/detail/peace-dollar/26/all/ms,
USA,1 Dollar,Eisenhower Silver (1971-1976),Ag,0.4,24.59,38.1,2.54,Reeded,1971,1976,COIN,https://en.numista.com/catalogue/pieces15202.html,https://www.ngccoin.com/coin-explorer/united-states/dollars/eisenhower-dollars-1971-1978/,https://www.pcgs.com/prices/detail/ike-dollar/31/all/ms,
USA,1 Dollar,Eisenhower (1971-1978),Cu-Ni,1,22.68,38.1,2.58,Reeded,1971,1978,COIN,https://en.numista.com/catalogue/pieces1346.html,https://www.ngccoin.com/coin-explorer/united-states/dollars/eisenhower-dollars-1971-1978/,https://www.pcgs.com/prices/detail/ike-dollar/31/all/ms,
USA,1 Dollar,"Susan B. Anthony (1979-1981, 1999)",Cu-Ni,1,8.1,26.5,2,Reeded,1979,1999,COIN,https://en.numista.com/catalogue/pieces3548.html,https://www.ngccoin.com/coin-explorer/united-states/dollars/anthony-dollars-1979-1999/,https://www.pcgs.com/prices/detail/susan-b-anthony-dollar/747/all/ms,
USA,1 Dollar,Sacagawea Dollar (2000-2008),Cu-Zn-Mn-Ni,1,8.1,26.5,2,Reeded,2000,2008,COIN,https://en.numista.com/catalogue/pieces923.html,https://www.ngccoin.com/coin-explorer/united-states/dollars/sacagawea-dollars-2000-date/,https://www.pcgs.com/prices/pricechanges/native-american/6281/all/ms,
USA,Half Dollar,Barber (1892-1915),Ag,0.9,12.5,30.6,2.15,Reeded,1892,1915,COIN,https://en.numista.com/catalogue/pieces10085.html,https://www.ngccoin.com/coin-explorer/united-states/half-dollars/barber-half-dollars-1892-1915/,https://www.pcgs.com/prices/detail/barber-half-dollar/732/all/ms,
USA,Half Dollar,Walking Liberty (1916-1947),Ag,0.9,12.5,30.6,2.15,Reeded,1916,1947,COIN,https://en.numista.com/catalogue/pieces4455.html,https://www.ngccoin.com/coin-explorer/united-states/half-dollars/walking-liberty-half-dollars-1916-1947/,https://www.pcgs.com/prices/detail/walking-liberty-half-dollar/733/all/ms,
USA,Half Dollar,Franklin (1948-1963),Ag,0.9,12.5,30.6,2.15,Reeded,1948,1963,COIN,https://en.numista.com/catalogue/pieces2835.html,https://www.ngccoin.com/coin-explorer/united-states/half-dollars/franklin-half-dollars-1948-1963/,https://www.pcgs.com/pop/detail/franklin-half-dollar-1948-1963/734,
USA,Half Dollar,Kennedy 90% Silver (1964),Ag,0.9,12.5,30.61,2.15,Reeded,1964,1964,COIN,https://en.numista.com/catalogue/pieces943.html,https://www.ngccoin.com/coin-explorer/united-states/half-dollars/kennedy-half-dollars-1964-date/16706/1964-50c-ms/,https://www.pcgs.com/prices/detail/kennedy-half-dollar/125/all/ms,
USA,Half Dollar,Kennedy 40% Silver (1965-1970),Ag,0.4,11.5,30.61,2.15,Reeded,1965,1970,COIN,https://en.numista.com/catalogue/pieces10865.html,https://www.ngccoin.com/coin-explorer/united-states/half-dollars/kennedy-half-dollars-1964-date/,https://www.pcgs.com/prices/detail/kennedy-half-dollar/125/all/ms,
USA,Half Dollar,Kennedy (1971-Present),Cu-Ni,1,11.34,30.61,2.15,Reeded,1971,,COIN,https://en.numista.com/catalogue/pieces6918.html,https://www.ngccoin.com/coin-explorer/united-states/half-dollars/kennedy-half-dollars-1964-date/,https://www.pcgs.com/prices/detail/kennedy-half-dollar/125/all/ms,
USA,Half Dollar,Capped Bust (1807-1839),Ag,0.8924,13.48,32.5,1.7,Reeded,1807,1836,COIN,https://en.numista.com/catalogue/pieces10637.html,https://www.ngccoin.com/coin-explorer/united-states/half-dollars/capped-bust-lettered-edge-half-dollars-1807-1836/16100/1812-50c-ms/,https://www.pcgs.com/prices/detail/capped-bust-half-dollar/120/all/ms,
USA,Half Dollar,Columbian (1892-1893),Ag,0.9,12.5,30.61,2.15,Reeded,1892,1893,COIN,https://en.numista.com/catalogue/pieces4396.html,https://www.ngccoin.com/coin-explorer/united-states/commemoratives/silver-commemoratives-1892-1954/19296/1892-columbian-50c-ms/?des=ms,https://www.pcgs.com/auctionprices/details/1893-columbian-ms-50c/9297,
USA,Quarter Dollar,Barber (1892-1916),Ag,0.9,6.25,24.33,1.75,Reeded,1892,1916,COIN,https://en.numista.com/catalogue/pieces10591.html,https://www.ngccoin.com/coin-explorer/united-states/quarters/barber-quarters-1892-1916/,https://www.pcgs.com/prices/detail/barber-quarter/716/all/ms,
USA,Quarter Dollar,Standing Liberty No Stars Below Eagle (1916-1917),Ag,0.9,6.25,24.3,1.75,Reeded,1916,1917,COIN,https://en.numista.com/catalogue/pieces30785.html,https://www.ngccoin.com/coin-explorer/united-states/quarters/standing-liberty-quarters-1916-1930/,https://www.pcgs.com/prices/detail/standing-liberty-quarter/111/all/ms,
USA,Quarter Dollar,Standing Liberty (1917-1930),Ag,0.9,6.25,24.3,1.75,Reeded,1917,1930,COIN,https://en.numista.com/catalogue/pieces3573.html,https://www.ngccoin.com/coin-explorer/united-states/quarters/standing-liberty-quarters-1916-1930/,https://www.pcgs.com/prices/detail/standing-liberty-quarter/111/all/ms,
USA,Quarter Dollar,Washington 90% Silver (1932-1964),Ag,0.9,6.25,24.3,1.75,Reeded,1932,1964,COIN,https://en.numista.com/catalogue/pieces54.html,https://www.ngccoin.com/coin-explorer/united-states/quarters/washington-quarters-1932-1998/,https://www.pcgs.com/prices/detail/washington-quarter/112/all/ms,
