country,denomination,series,metal,fineness,weight_grams,diameter_mm,thickness_mm,edge,years_start,years_end,asset_category,numista_url,ngc_url,pcgs_url,notes
USA,1 oz,APMEX Bar,Ag,0.999,31.1,,2.4,Plain,,,BAR,https://en.numista.com/catalogue/exonumia287944.html,,,Silver Towne Mint
Canada,5 Dollars,Maple (2014-2022),Ag,0.9999,31.103,38,3.29,Reeded,2014,2022,BULLION COIN,https://en.numista.com/catalogue/pieces58596.html,,,Royal Canadian Mint bullion coin with security features since 2014
Canada,5 Dollars,Maple (2023),Ag,0.9999,31.103,38,3.29,Reeded,2023,2023,BULLION COIN,https://en.numista.com/catalogue/pieces356135.html,,,
Canada,5 Dollars,Maple (2024-Present),Ag,0.9999,31.1013,38,3.29,Reeded,2024,,BULLION COIN,https://en.numista.com/catalogue/pieces401696.html,,,King Charles Portrait
Australia,1 Dollar,Kangaroo (2016-2019),Ag,0.9999,31.107,40.6,3.2,Reeded,2016,2019,BULLION COIN,https://en.numista.com/catalogue/pieces76663.html,https://www.ngccoin.com/population-report/australia/4/kangaroo-series/78/s1/755/all/MS/?page=1,https://www.pcgs.com/pop/detail/category/219568?l=1-dollar-silver-1993-2023&ccid=219568&p=MS&sn=143220&pn=1&ps=100,Perth Mint version with micro-laser security feature
Austria,1.5 Euros,Philharmonic (2008-Present),Ag,0.999,31.103,37,3.2,Smooth,2008,,BULLION COIN,https://en.numista.com/catalogue/pieces9165.html,https://www.ngccoin.com/price-guide/world/austria-1-1-2-euro-km-3159-2008-2016-cuid-1060126-duid-1233485,,First silver bullion coin denominated in Euros
UK,2 Pounds,Britannia (2021-2023),Ag,0.999,31.21,38.61,3,Reeded,2021,2023,BULLION COIN,https://en.numista.com/catalogue/pieces240613.html,https://www.ngccoin.com/price-guide/world/great-britain-2-pounds-km-1029-1998-2013-cuid-1133207-duid-1327363,https://www.pcgs.com/pop/detail/2-pounds-1997-date/4057,Royal Mint with advanced security features since 2019
UK,2 Pounds,Britannia (2023-Present),Ag,0.999,32.45,40,3,Reeded,2023,,BULLION COIN,https://en.numista.com/catalogue/pieces353110.html,https://www.ngccoin.com/price-guide/world/great-britain-2-pounds-km-1029-1998-2013-cuid-1133207-duid-1327363,https://www.pcgs.com/pop/detail/2-pounds-1997-date/4057,King Charles Portrait
Armenia,500 Dram,Noah's Ark (2011-Present),Ag,0.999,31.103,38.6,2.8,Smooth,2011,,BULLION COIN,https://en.numista.com/catalogue/pieces26279.html,https://www.ngccoin.com/price-guide/world/armenia-500-dram-km-196.1-2011-2016-cuid-1064106-duid-1233953,,Biblical themed design with Mount Ararat
South Africa,1 Rand,Kruggerand (2018-Present),Ag,0.999,31.103,38.7,2.84,Reeded,2018,,BULLION COIN,https://en.numista.com/catalogue/pieces143754.html,,,Silver version introduced for 50th anniversary
USA,1 Dollar,American Silver Eagle (1986-2021),Ag,0.999,31.103,40.6,2.98,Reeded,1986,2021,BULLION COIN,https://en.numista.com/catalogue/pieces1493.html,https://www.ngccoin.com/price-guide/united-states/american-eagles-and-bullion-coins/76/,https://www.pcgs.com/prices/detail/silver-eagles/939/most-active/ms,
USA,1 Dollar,American Silver Eagle (2021-Present),Ag,0.999,31.103,40.6,2.98,Reeded,2021,,BULLION COIN,https://en.numista.com/catalogue/pieces298883.html,https://www.ngccoin.com/price-guide/united-states/american-eagles-and-bullion-coins/76/,https://www.pcgs.com/prices/detail/silver-eagles/939/most-active/ms,
USA,1 oz,Money Metal Exchange Walking Liberty 1.0,Ag,0.999,31.103,39,,Reeded,,,ROUND,https://en.numista.com/catalogue/exonumia173945.html,,,
USA,0.5 oz,Money Metal Exchange Walking Liberty 0.5,Ag,0.999,15.55,30,2.5,Reeded,,,ROUND,https://en.numista.com/catalogue/exonumia445198.html,,,
USA,0.1 oz,Money Metal Exchange Walking Liberty 0.1,Ag,0.999,3.11,19.6,1.22,Reeded,,,ROUND,https://en.numista.com/catalogue/exonumia133589.html,,,
