country,denomination,series,metal,fineness,weight_grams,diameter_mm,thickness_mm,edge,years_start,years_end,asset_category,numista_url,ngc_url,pcgs_url,notes
France,5 Centimes,Fifth Republic - 5 Centimes (1966-2001),Al Bronze,1,2,17,1.3,Plain,1966,2001,COIN,https://en.numista.com/catalogue/pieces2.html,,,
Belgium,1 Franc,Baudouin I - 1 Franc (1989-1993),Ni,1,2.75,18,1.65,Plain,1989,1993,COIN,https://en.numista.com/catalogue/pieces1245.html,,,
Iceland,1 Krona,Republic - 1 Krona (1989-2011),Ni,1,1.5,21.5,,Plain,1989,2011,COIN,https://en.numista.com/catalogue/pieces1549.html,,,
Japan,1 Yen,Showa - 1 Yen (1955-1989),Al Bronze,1,1,20,,Plain,1955,1989,COIN,https://en.numista.com/catalogue/pieces1590.html,,,
UK,1 Penny,Elizabeth II - 1 Penny (2008-2015),Cu,1,3.56,20.32,,Plain,2008,2015,COIN,https://en.numista.com/catalogue/pieces4038.html,,,
Romania,10 Bani,Republic - 10 Bani (2005-2017),Ni,1,4,20.5,1.8,Segmented Reeded,2005,2017,COIN,https://en.numista.com/catalogue/pieces4101.html,,,
Hong Kong,50 Cents,Elizabeth II - 50 Cents (1977-1980),Cu-Zn-Ni,1,4.9,22.5,,Reeded,1977,1980,COIN,https://en.numista.com/catalogue/pieces915.html,,,
Hungary,10 Forint,Republic - 10 Forint (1992-2011),Cu-Ni,1,6.1,24.8,1.85,Reeded,1992,2011,COIN,https://en.numista.com/catalogue/pieces810.html,,,
UK,1 Shilling,Elizabeth II - 1 Shilling (1954-1970),Cu-Ni,1,5.65,23.5,,Reeded,1954,1966,COIN,https://en.numista.com/catalogue/pieces882.html,,,
Turkey,50 Kurus,Republic - 50 Kurus (2009-2022),Cu-Ni,1,6.8,23.85,,Reeded,2009,2022,COIN,https://en.numista.com/catalogue/pieces7048.html,,,
