country,denomination,series,metal,fineness,weight_grams,diameter_mm,thickness_mm,edge,years_start,years_end,asset_category,numista_url,ngc_url,pcgs_url,notes
Canada,25 Cents,George VI - 25 Cents,Ag,0.9,5.83,23.62,1.61,Reeded,1937,1947,COIN,https://en.numista.com/catalogue/pieces371.html,https://www.ngccoin.com/price-guide/world/canada-25-cents-km-35-1937-1947-cuid-77-duid-557,,
France,1 Franc,Third Republic - 1 Franc,Cu-Al,1,4,23,1.48,Reeded,1920,1927,COIN,https://en.numista.com/catalogue/pieces705.html,https://www.ngccoin.com/price-guide/world/france-franc-km-876-1920-1927-cuid-1128376-duid-1263675,,
France,10 Centimes,Third Republic - 10 Centimes,Copper-nickel,1,4,21,1.68,Reeded,1917,1938,COIN,https://en.numista.com/catalogue/pieces321.html,https://www.ngccoin.com/price-guide/world/france-10-centimes-km-866a-1917-1938-cuid-1201881-duid-1264178,,Third Republic design with Marianne
France,10 Francs,Third Republic - 10 Francs,Ag,0.68,10,28,2.01,Reeded,1929,1939,COIN,https://en.numista.com/catalogue/pieces687.html,https://www.ngccoin.com/price-guide/world/france-10-francs-km-878-1929-1939-cuid-1127887-duid-1265318,,
France,2 Francs,Third Republic - 2 Francs Marianne,Cu-Al,1,8,27,2.14,Plain,1931,1941,COIN,https://en.numista.com/catalogue/pieces709.html,https://www.ngccoin.com/price-guide/world/france-2-francs-km-886-1931-1941-cuid-1128692-duid-1264564,,
France,2 Francs,Third Republic - 2 Francs Mercury,Cu-Al,1,8,27,2.14,Reeded,1920,1927,COIN,https://en.numista.com/catalogue/pieces699.html,https://www.ngccoin.com/price-guide/world/france-2-francs-km-877-1920-1927-cuid-1127724-duid-1265298,,
France,25 Centimes,Third Republic - 25 Centimes,Cu-Ni,1,5,24,1.64,Reeded,1917,1937,COIN,https://en.numista.com/catalogue/pieces710.html,https://www.ngccoin.com/price-guide/world/france-25-centimes-km-867a-1917-1937-cuid-1127794-duid-1263630,,
France,1 Franc,Vichy State - 1 Franc,Aluminum,1,1.28,23.02,1.45,Plain,1942,1944,COIN,https://en.numista.com/catalogue/pieces298.html,https://www.ngccoin.com/price-guide/world/france-franc-km-902.1-1942-1944-cuid-1127873-duid-1263760,,Light type Francisque design - Vichy French State
France,2 Francs,Vichy State - 2 Francs,Aluminum,1,2.2,27,1.7,Plain,1943,1944,COIN,https://en.numista.com/catalogue/pieces299.html,https://www.ngccoin.com/price-guide/world/france-2-francs-km-9041-1943-1944-cuid-35707-duid-103283,,
Germany,10 Reichspfennig,Third Reich - 10 Reichspfennig,Cu-Al (Al-Bronze),1,4,21,1.75,Reeded,1936,1939,COIN,https://en.numista.com/catalogue/pieces2341.html,https://www.ngccoin.com/price-guide/world/germany-weimar-republic-10-reichspfennig-km-40-1924-common-date-cuid-1130208-duid-1330808,,
Germany,5 Reichsmark,Third Reich - 5 Reichsmark,Ag,0.9,13.88,29,2.5,Reeded,1936,1939,COIN,https://en.numista.com/catalogue/pieces5218.html,https://www.ngccoin.com/price-guide/world/germany-third-reich-5-reichsmark-km-94-1936-common-date-cuid-1129869-duid-1319348,,
Germany,50 Reichspfennig,Third Reich - 50 Reichspfennig,Al,1,1.3,22.7,1.55,Reeded,1939,1944,COIN,https://en.numista.com/catalogue/pieces1928.html,https://www.ngccoin.com/price-guide/world/germany-third-reich-50-reichspfennig-km-96-1939-common-date-cuid-1132415-duid-1319558,,
Germany,3 Marks,Weimar Republic - 3 Marks,Aluminum,1,2,30,,Plain,1922,1923,COIN,https://en.numista.com/catalogue/pieces3415.html,https://www.ngccoin.com/price-guide/world/germany-weimar-republic-3-mark-km-29-1922-1923-cuid-1129293-duid-1320712,,Commemorating Weimar Constitution
Iceland,5 aurar,Christian X - 5 aurar,Cu-Zn-Sn (Bronze),1,6,24,2,Plain,1926,1942,COIN,https://en.numista.com/catalogue/pieces6883.html,https://www.ngccoin.com/price-guide/world/iceland-5-aurar-km-7.2-1940-1942-cuid-1201063-duid-1469841,,
Italy,2 Lire,Victor Emmanuel III - 2 Lire,Acmonital (magnetic),1,10,29.1,2.3,Reeded,1939,1943,COIN,https://en.numista.com/catalogue/pieces15574.html,https://www.ngccoin.com/price-guide/world/italy-2-lire-km-78b-1939-1943-cuid-1124503-duid-1472883,,
Italy,20 Centesimi,Victor Emmanuel III - 20 Centesimi,Acmonital (magnetic),1,4,21.7,1.65,Reeded,1939,1943,COIN,https://en.numista.com/catalogue/pieces1959.html,https://www.ngccoin.com/price-guide/world/italy-20-centesimi-km-75b-1939-1943-cuid-1125698-duid-1471446,,
