country,denomination,series,year,mint_mark,variety,mintage
USA,1 Dollar,Morgan (1878-1921),1878,,8 Tail Feathers,749500
USA,1 Dollar,Morgan (1878-1921),1878,,7 Tail Feathers,9759550
USA,1 Dollar,Morgan (1878-1921),1878,CC,,2212000
USA,1 Dollar,Morgan (1878-1921),1878,S,,9774000
USA,1 Dollar,Morgan (1878-1921),1879,,,14807100
USA,1 Dollar,Morgan (1878-1921),1879,CC,Clear CC,756000
USA,1 Dollar,Morgan (1878-1921),1879,O,,2887000
USA,1 Dollar,Morgan (1878-1921),1879,S,,9110000
USA,1 Dollar,Morgan (1878-1921),1880,,,12601355
USA,1 Dollar,Morgan (1878-1921),1880,CC,,591000
USA,1 Dollar,Morgan (1878-1921),1880,O,,5305000
USA,1 Dollar,Morgan (1878-1921),1880,S,,8900000
USA,1 Dollar,Morgan (1878-1921),1881,,,9163975
USA,1 Dollar,Morgan (1878-1921),1881,CC,,296000
USA,1 Dollar,Morgan (1878-1921),1881,O,,5708000
USA,1 Dollar,Morgan (1878-1921),1882,CC,,1133000
USA,1 Dollar,Morgan (1878-1921),1882,O,,6090000
USA,1 Dollar,Morgan (1878-1921),1882,S,,9250000
USA,1 Dollar,Morgan (1878-1921),1883,,,12291039
USA,1 Dollar,Morgan (1878-1921),1883,CC,,1204000
USA,1 Dollar,Morgan (1878-1921),1883,O,,8725000
USA,1 Dollar,Morgan (1878-1921),1883,S,,6250000
USA,1 Dollar,Morgan (1878-1921),1884,CC,,1136000
USA,1 Dollar,Morgan (1878-1921),1884,O,,9730000
USA,1 Dollar,Morgan (1878-1921),1884,S,,3200000
USA,1 Dollar,Morgan (1878-1921),1885,,,17787787
USA,1 Dollar,Morgan (1878-1921),1885,CC,,228000
USA,1 Dollar,Morgan (1878-1921),1885,O,,9185000
USA,1 Dollar,Morgan (1878-1921),1885,S,,1497000
USA,1 Dollar,Morgan (1878-1921),1886,,,19963886
USA,1 Dollar,Morgan (1878-1921),1886,O,,10710000
USA,1 Dollar,Morgan (1878-1921),1886,S,,750000
USA,1 Dollar,Morgan (1878-1921),1887,,,20290710
USA,1 Dollar,Morgan (1878-1921),1887,S,,1771000
USA,1 Dollar,Morgan (1878-1921),1888,,,19183833
USA,1 Dollar,Morgan (1878-1921),1888,O,,12150000
USA,1 Dollar,Morgan (1878-1921),1888,S,,657000
USA,1 Dollar,Morgan (1878-1921),1889,,,21726811
USA,1 Dollar,Morgan (1878-1921),1889,CC,,350000
USA,1 Dollar,Morgan (1878-1921),1889,O,,11875000
USA,1 Dollar,Morgan (1878-1921),1889,S,,700000
USA,1 Dollar,Morgan (1878-1921),1890,,,16802590
USA,1 Dollar,Morgan (1878-1921),1890,CC,,2309041
USA,1 Dollar,Morgan (1878-1921),1890,S,,8230373
USA,1 Dollar,Morgan (1878-1921),1891,,,8694206
USA,1 Dollar,Morgan (1878-1921),1891,CC,,1618000
USA,1 Dollar,Morgan (1878-1921),1891,O,,7954529
USA,1 Dollar,Morgan (1878-1921),1891,S,,5296000
USA,1 Dollar,Morgan (1878-1921),1892,,,1037245
USA,1 Dollar,Morgan (1878-1921),1892,CC,,1352000
USA,1 Dollar,Morgan (1878-1921),1892,O,,2744000
USA,1 Dollar,Morgan (1878-1921),1892,S,,1200000
USA,1 Dollar,Morgan (1878-1921),1893,,,378792
USA,1 Dollar,Morgan (1878-1921),1893,CC,,677000
USA,1 Dollar,Morgan (1878-1921),1893,O,,300000
USA,1 Dollar,Morgan (1878-1921),1893,S,,100000
USA,1 Dollar,Morgan (1878-1921),1894,,,110972
USA,1 Dollar,Morgan (1878-1921),1894,O,,1723000
USA,1 Dollar,Morgan (1878-1921),1894,S,,1260000
USA,1 Dollar,Morgan (1878-1921),1895,O,,450000
USA,1 Dollar,Morgan (1878-1921),1895,S,,400000
USA,1 Dollar,Morgan (1878-1921),1896,O,,4900000
USA,1 Dollar,Morgan (1878-1921),1896,S,,5000000
USA,1 Dollar,Morgan (1878-1921),1897,,,2822731
USA,1 Dollar,Morgan (1878-1921),1897,O,,4004000
USA,1 Dollar,Morgan (1878-1921),1897,S,,5825000
USA,1 Dollar,Morgan (1878-1921),1898,,,5884735
USA,1 Dollar,Morgan (1878-1921),1898,O,,4440000
USA,1 Dollar,Morgan (1878-1921),1898,S,,4102000
USA,1 Dollar,Morgan (1878-1921),1899,,,330846
USA,1 Dollar,Morgan (1878-1921),1899,S,,2562000
USA,1 Dollar,Morgan (1878-1921),1900,,,8830912
USA,1 Dollar,Morgan (1878-1921),1900,O,,12590000
USA,1 Dollar,Morgan (1878-1921),1900,O,O/CC,12590000
USA,1 Dollar,Morgan (1878-1921),1900,S,,3540000
USA,1 Dollar,Morgan (1878-1921),1901,O,,13320000
USA,1 Dollar,Morgan (1878-1921),1901,S,,2284000
USA,1 Dollar,Morgan (1878-1921),1902,,,7994777
USA,1 Dollar,Morgan (1878-1921),1902,O,,8636000
USA,1 Dollar,Morgan (1878-1921),1902,S,,1530000
USA,1 Dollar,Morgan (1878-1921),1903,,,4652755
USA,1 Dollar,Morgan (1878-1921),1903,O,,4450000
USA,1 Dollar,Morgan (1878-1921),1903,S,,1241000
USA,1 Dollar,Morgan (1878-1921),1904,,,2788650
USA,1 Dollar,Morgan (1878-1921),1904,O,,3720000
USA,1 Dollar,Morgan (1878-1921),1904,S,,2304000
USA,1 Dollar,Morgan (1878-1921),1921,D,,20345000
USA,1 Dollar,Morgan (1878-1921),1921,S,,21695000
