Year,Mint Mark,Variety/Notes,Mintage
1921,None (Philadelphia),High Relief,"1,006,473"
1921,D,High Relief,"1,000,000"
1921,S,High Relief,"1,000,000"
1922,None (Philadelphia),Normal Relief,"51,737,000"
1922,D,Normal Relief,"15,063,000"
1922,S,Normal Relief,"17,475,000"
1923,None (Philadelphia),Normal Relief,"30,800,000"
1923,D,Normal Relief,"6,811,000"
1923,S,Normal Relief,"19,020,000"
1924,S,Normal Relief,"1,728,000"
1925,None (Philadelphia),Normal Relief,"10,198,000"
1925,S,Normal Relief,"1,610,000"
1926,None (Philadelphia),Normal Relief,"1,939,000"
1926,D,Normal Relief,"2,348,700"
1926,S,Normal Relief,"6,980,000"
1927,None (Philadelphia),Normal Relief,"848,000"
1927,D,Normal Relief,"1,268,900"
1927,S,Normal Relief,"866,000"
1928,None (Philadelphia),Normal Relief,"360,649"
1928,S,Normal Relief,"1,632,000"
1934,None (Philadelphia),Normal Relief,"954,057"
1934,D,Normal Relief,"1,569,500"
1934,S,Normal Relief,"1,011,000"
1935,None (Philadelphia),Normal Relief,"1,576,000"
1935,S,Normal Relief,"1,964,000"
