country,denomination,series,metal,fineness,weight_grams,diameter_mm,thickness_mm,edge,years_start,years_end,asset_category,numista_url,ngccoin_url,pcgs_url,notes
Canada,25 Cents,George VI,Ag,0.9,5.83,23.62,1.61,Reeded,1937,1947,COIN,https://en.numista.com/catalogue/pieces371.html,https://www.ngccoin.com/price-guide/world/canada-25-cents-km-35-1937-1947-cuid-77-duid-557,,
France,1 Franc,Vichy State,Aluminum,1,1.28,23.02,1.45,Plain,1942,1944,COIN,https://en.numista.com/catalogue/pieces298.html,https://www.ngccoin.com/price-guide/world/france-franc-km-902.1-1942-1944-cuid-1127873-duid-1263760,,Light type Francisque design - Vichy French State
France,2 Francs,Vichy State,Aluminum,1,2.2,27,1.7,Plain,1943,1944,COIN,https://en.numista.com/catalogue/pieces299.html,https://www.ngccoin.com/price-guide/world/france-2-francs-km-9041-1943-1944-cuid-35707-duid-103283,,
France,10 Centimes,Third Republic,Bronze,1,4,20,1.5,Plain,1917,1938,COIN,https://en.numista.com/catalogue/pieces295.html,https://www.ngccoin.com/price-guide/world/france-10-centimes-km-866a-1917-1938-cuid-1201881-duid-1264178,,
France,2 Francs,Third Republic,Ag,0.835,10,27,1.7,Reeded,1920,1927,COIN,https://en.numista.com/catalogue/pieces297.html,,,
France,2 Francs,Third Republic,Ag,0.68,8,27,1.7,Reeded,1931,1941,COIN,https://en.numista.com/catalogue/pieces297.html,,,
France,1 Franc,Third Republic,Ag,0.835,5,23,1.45,Reeded,1920,1927,COIN,https://en.numista.com/catalogue/pieces296.html,,,
France,25 Centimes,Third Republic,Ni,1,2.5,18,1.3,Plain,1917,1937,COIN,https://en.numista.com/catalogue/pieces294.html,,,
France,10 Francs,Third Republic,Ag,0.68,10,26.5,2.3,Lettered edge,1929,1939,COIN,https://en.numista.com/catalogue/pieces300.html,,,
Germany,3 Mark,Weimar Republic,Aluminum,1,2,23,1.6,Plain,1922,1923,COIN,https://en.numista.com/catalogue/pieces7074.html,,,
Germany,50 Reichspfennig,Third Reich,Aluminum,1,1.55,22.5,1.5,Plain,1939,1944,COIN,https://en.numista.com/catalogue/pieces3386.html,,,
Germany,10 Reichspfennig,Third Reich,Zn,1,3.5,21,1.6,Plain,1936,1939,COIN,https://en.numista.com/catalogue/pieces3385.html,,,
Germany,5 Reichsmark,Third Reich,Ag,0.9,13.88,29,2.15,Lettered edge,1936,1939,COIN,https://en.numista.com/catalogue/pieces3392.html,https://www.ngccoin.com/price-guide/world/germany-third-reich-5-reichsmark-km-94-1936-common-date-cuid-1129869-duid-1319348,,
