tx_date,tx_type,party,currency,shipping,tax,fees,notes,country,denomination,series,year,mint_mark,variety,quantity,unit_price,purchase_grade_company,purchase_grade_text,purchase_numeric_grade,estimated_grade_text,estimated_numeric_grade,valuation_method,manual_est_unit_value,storage_location
8/30/2025,Buy,Ohio State Coin Show,USD,,,,,Italy,5 Centesimi,Victor Emmanuel III - 5 Centesimi (1919-1937),1930,R,,1,2.08,,,,EF40,40,AUTO,0.6,World Coins G-L
8/30/2025,Buy,Ohio State Coin Show,USD,,,,,Italy,10 Centesimi,Victor Emmanuel III - 10 Centesimi (1919-1937),1926,R,,1,2.08,,,,VF30,30,AUTO,1,World Coins G-L
8/30/2025,Buy,Ohio State Coin Show,USD,,,,,Italy,10 Centesimi,Victor Emmanuel III - 10 Centesimi (1936-1943),1940,R,,1,2.08,,,,VF20,20,AUTO,1,World Coins G-L
8/30/2025,Buy,Ohio State Coin Show,USD,,,,,Italy,20 Centesimi,Victor Emmanuel III - 20 Centesimi (1939-1943),1939,R,,1,2.08,,,,,,AUTO,,World Coins G-L
8/30/2025,Buy,Ohio State Coin Show,USD,,,,,Italy,20 Centesimi,Victor Emmanuel III - 20 Centesimi (1939-1943),1940,R,,1,2.08,,,,,,AUTO,,World Coins G-L
8/30/2025,Buy,Ohio State Coin Show,USD,,,,,Italy,20 Centesimi,Victor Emmanuel III - 20 Centesimi (1939-1943),1940,R,,1,2.08,,,,,,AUTO,,World Coins G-L
8/30/2025,Buy,Ohio State Coin Show,USD,,,,,Italy,20 Centesimi,Victor Emmanuel III - 20 Centesimi (1939-1943),1942,R,,1,2.08,,,,VF30,30,AUTO,1.25,World Coins G-L
8/30/2025,Buy,Ohio State Coin Show,USD,,,,,Italy,50 Centesimi,Victor Emmanuel III - 50 Centesimi (1939-1943),1939,R,XVII,1,2.08,,,,,,AUTO,,World Coins G-L
8/30/2025,Buy,Ohio State Coin Show,USD,,,,,Italy,1 Lira,Victor Emmanuel III - 1 Lira (1922-1935),1922,R,,1,2.08,,,,,,AUTO,,World Coins G-L
8/30/2025,Buy,Ohio State Coin Show,USD,,,,,Italy,1 Lira,Victor Emmanuel III - 1 Lira (1939-1940) non-magnetic,1940,R,,1,2.08,,,,,,AUTO,,World Coins G-L
8/30/2025,Buy,Ohio State Coin Show,USD,,,,,Italy,1 Lira,Victor Emmanuel III - 1 Lira (1939-1943) magnetic,1942,R,,1,2.08,,,,,,AUTO,,World Coins G-L
,,,,,,,,,,,,,,,,,,,,,,,
