tx_date,tx_type,party,currency,shipping,tax,fees,notes,country,denomination,series,year,mint_mark,variety,quantity,unit_price,purchase_grade_company,purchase_grade_text,purchase_numeric_grade,estimated_grade_text,estimated_numeric_grade,valuation_method,manual_est_unit_value,storage_location
8/20/2025,BUY,Hobby of Kings,USD,0,0,0,,France,5 Centimes,Fifth Republic - 5 Centimes (1966-2001),1984,,,1,0.54,,,,,,AUTO,0.05,World Coin Box
8/20/2025,BUY,Hobby of Kings,USD,0,0,0,,Belgium,1 Franc,Baudouin I - 1 Franc (1989-1993),1991,,,1,0.54,,,,,,AUTO,0.05,World Coin Box
8/20/2025,BUY,Hobby of Kings,USD,0,0,0,,Iceland,1 Krona,Republic - 1 Krona (1989-2011),1999,,,1,0.54,,,,,,AUTO,0.2,World Coin Box
8/20/2025,BUY,Hobby of Kings,USD,0,0,0,,Japan,1 Yen,Showa - 1 Yen (1955-1989),1974,,,1,0.54,,,,,,AUTO,0.2,World Coin Box
8/20/2025,BUY,Hobby of Kings,USD,0,0,0,,UK,1 Penny,Elizabeth II - 1 Penny (2008-2015),2011,,,1,0.54,,,,,,AUTO,0.01,World Coin Box
8/20/2025,BUY,Hobby of Kings,USD,0,0,0,,Romania,10 Bani,Republic - 10 Bani (2005-2017),2016,,,1,0.54,,,,,,AUTO,0.1,World Coin Box
8/20/2025,BUY,Hobby of Kings,USD,0,0,0,,Hong Kong,50 Cents,Elizabeth II - 50 Cents (1977-1980),1980,,,1,0.54,,,,,,AUTO,0.2,World Coin Box
8/20/2025,BUY,Hobby of Kings,USD,0,0,0,,Hungary,10 Forint,Republic - 10 Forint (1992-2011),1995,,,1,0.54,,,,,,AUTO,0.1,World Coin Box
8/20/2025,BUY,Hobby of Kings,USD,0,0,0,,UK,1 Shilling,Elizabeth II - 1 Shilling (1954-1970),1956,,,1,0.54,,,,,,AUTO,0.25,World Coin Box
8/20/2025,BUY,Hobby of Kings,USD,0,0,0,,Turkey,50 Kurus,Republic - 50 Kurus (2009-2022),2020,,,1,0.54,,,,,,AUTO,0.1,World Coin Box
